Fund,Expense ratio,Tracking Error,AUM,1yr Annualized Return,2yr Annualized Return,3yr Annualized Return,5yr Annualized Return
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund,0.46,0.47,216.31,54.34,42.03,20.09,
Axis Nifty Smallcap 50 Index Fund,0.28,0.35,388.09,55.02,42.04,,
Kotak Nifty Smallcap 50 Index Fund,0.38,0.43,84.03,55.1,,,
HDFC NIFTY Smallcap 250 Index Fund,0.3,0.11,276.60,47.85,,,
ICICI Prudential Nifty Smallcap 250 Index Fund,0.33,0.07,389.56,48,38.35,24.9,
Motilal Oswal Nifty Microcap 250 Index Fund,0.44,0.25,1379.87,52.53,,,
Motilal Oswal Nifty Smallcap 250 Index Fund,0.36,0.07,767.12,48.26,38.54,26.11,32.56
Nippon India Nifty Smallcap 250 Index Fund,0.35,0.22,1703.53,47.82,38.31,25.99,
SBI Nifty Smallcap 250 Index Fund,0.41,0.07,1006.11,48.03,,,
Edelweiss Nifty Smallcap 250 Index Fund,0.14,0.26,74.72,48.7,,,
